A,Y,W,Z,day_of_week,month
13.2,16.342857142857145,14.0,16.599999999999998,4,1
16.599999999999998,15.610714285714286,13.2,29.3,5,1
29.3,16.339285714285715,16.599999999999998,11.0,6,1
11.0,17.625,29.3,12.475,0,1
12.475,18.075,11.0,17.8,1,1
17.8,17.560714285714287,12.475,23.0,2,1
23.0,14.717857142857143,17.8,16.35,3,1
16.35,14.815,23.0,13.0,4,1
13.0,15.125714285714286,16.35,9.4,5,1
9.4,14.297142857142859,13.0,11.68,6,1
11.68,13.637142857142859,9.4,14.65,0,1
14.65,13.415714285714285,11.68,12.0,1,1
12.0,14.065714285714288,14.65,18.380000000000003,2,1
18.380000000000003,15.768571428571429,12.0,14.8,3,1
14.8,19.192857142857147,18.380000000000003,17.55,4,1
17.55,19.678571428571427,14.8,21.32,5,1
21.32,19.995714285714286,17.55,35.650000000000006,6,1
35.650000000000006,19.905714285714286,21.32,18.05,0,1
18.05,19.005714285714284,35.650000000000006,14.219999999999999,1,1
14.219999999999999,18.455714285714286,18.05,17.75,2,1
17.75,18.481428571428573,14.219999999999999,8.5,3,1
8.5,17.474285714285713,17.75,13.7,4,1
13.7,18.405238095238097,8.5,21.5,5,1
21.5,18.48809523809524,13.7,28.6,6,1
28.6,17.35952380952381,21.5,24.566666666666666,0,1
24.566666666666666,17.445238095238096,28.6,14.8,1,1
14.8,16.066666666666666,24.566666666666666,9.850000000000001,2,1
9.850000000000001,14.573809523809524,14.8,9.1,3,1
9.1,12.682380952380951,9.850000000000001,4.05,4,2
4.05,10.272857142857143,9.1,11.05,5,2
11.05,11.015714285714285,4.05,15.36,6,2
15.36,13.30142857142857,11.05,7.7,0,2
7.7,15.587142857142856,15.36,20.0,1,2
20.0,17.622857142857143,7.7,25.85,2,2
25.85,17.144285714285715,20.0,25.1,3,2
25.1,15.564285714285715,25.85,18.299999999999997,4,2
18.299999999999997,15.771428571428572,25.1,7.7,5,2
7.7,13.911428571428571,18.299999999999997,4.300000000000001,6,2
4.300000000000001,11.704285714285716,7.7,9.15,0,2
