A,Y,W,W2,Z,X_crop,X_ea
50.0,2.5649493574615367,13.0,5.3,0.8936170212765957,1,0
50.0,5.860786223465865,13.0,5.3,0.8936170212765957,2,0
50.0,3.4339872044851463,13.0,2.2,0.8936170212765957,1,0
25.0,2.833213344056216,13.0,3.1,0.8936170212765957,2,0
25.0,2.70805020110221,14.0,1.3,0.8936170212765957,2,0
75.0,1.6094379124341003,15.0,4.8,0.8936170212765957,1,0
50.0,1.791759469228055,13.0,6.4,0.8936170212765957,1,0
25.0,3.8918202981106265,14.0,5.2,0.8936170212765957,1,0
25.0,3.713572066704308,13.0,5.3,0.8936170212765957,1,0
25.0,2.5649493574615367,13.0,5.3,0.8936170212765957,2,0
25.0,3.713572066704308,13.0,5.4,0.8936170212765957,2,0
50.0,5.017279836814924,14.0,1.9,0.8936170212765957,2,0
50.0,1.3862943611198906,12.0,7.7,0.8936170212765957,2,0
33.0,2.772588722239781,14.0,2.9,0.8936170212765957,2,0
25.0,0.6931471805599453,14.0,2.9,0.8936170212765957,1,0
50.0,1.6094379124341003,14.0,2.4,0.8936170212765957,2,0
33.0,1.6094379124341003,13.0,3.0,0.8936170212765957,2,0
25.0,3.713572066704308,14.0,6.0,0.8936170212765957,1,0
25.0,2.0794415416798357,13.0,6.3,0.8936170212765957,2,0
25.0,0.6931471805599453,14.0,7.1,0.8936170212765957,2,0
50.0,1.6094379124341003,10.0,17.1,0.6861313868613139,1,1
0.0,0.6931471805599453,10.0,30.2,0.6861313868613139,3,1
0.0,0.6931471805599453,10.0,19.2,0.6861313868613139,3,1
0.0,1.0986122886681098,10.0,19.3,0.6861313868613139,0,1
50.0,0.6931471805599453,13.0,1.7,0.6861313868613139,3,1
0.0,1.0986122886681098,14.0,2.3,0.6861313868613139,3,1
50.0,0.6931471805599453,15.0,0.9,0.6861313868613139,3,1
50.0,1.0986122886681098,13.0,5.7,0.6861313868613139,1,1
50.0,1.0986122886681098,12.0,21.6,0.6861313868613139,1,1
0.0,1.6094379124341003,14.0,4.6,0.6861313868613139,3,1
0.0,1.0986122886681098,14.0,4.6,0.6861313868613139,3,1
33.0,0.6931471805599453,13.0,3.6,0.6861313868613139,1,1
33.0,1.3862943611198906,14.0,3.6,0.6861313868613139,1,1
33.0,0.6931471805599453,14.0,1.0,0.6861313868613139,3,1
33.0,1.3862943611198906,14.0,1.2,0.6861313868613139,3,1
25.0,0.6931471805599453,14.0,1.2,0.6861313868613139,3,1
25.0,1.3862943611198906,13.0,3.2,0.6861313868613139,3,1
33.0,1.3862943611198906,11.0,6.7,0.6861313868613139,1,1
0.0,1.0986122886681098,12.0,13.6,0.6861313868613139,3,1
0.0,1.791759469228055,13.0,1.8,0.6861313868613139,1,1
50.0,0.6931471805599453,14.0,2.2,0.6861313868613139,3,1
0.0,1.3862943611198906,14.0,3.0,0.6861313868613139,3,1
0.0,1.0986122886681098,13.0,2.8,0.6861313868613139,3,1
0.0,1.0986122886681098,13.0,22.3,0.6861313868613139,1,1
33.0,1.0986122886681098,11.0,9.8,0.6861313868613139,1,1
50.0,1.6094379124341003,12.0,10.9,0.6861313868613139,0,1
25.0,1.0986122886681098,14.0,3.4,0.6861313868613139,1,1
50.0,3.044522437723423,10.0,22.9,0.6861313868613139,3,1
25.0,1.252762968495368,15.0,2.6,0.6861313868613139,3,1
0.0,1.6094379124341003,12.0,7.2,0.6861313868613139,1,1
33.0,0.6931471805599453,14.0,4.3,0.6861313868613139,3,1
33.0,0.6931471805599453,14.0,2.8,0.6861313868613139,3,1
33.0,0.6931471805599453,13.0,2.5,0.6861313868613139,3,1
25.0,0.6931471805599453,14.0,4.4,0.6861313868613139,3,1
50.0,0.6931471805599453,12.0,2.5,0.6861313868613139,3,1
33.0,3.044522437723423,12.0,2.6,0.6861313868613139,3,1
33.0,2.3978952727983707,13.0,3.0,0.6861313868613139,3,1
25.0,0.6931471805599453,13.0,3.1,0.6861313868613139,3,1
25.0,2.3978952727983707,12.0,9.5,0.6861313868613139,1,1
25.0,2.6390573296152584,13.0,6.7,0.6861313868613139,0,1
50.0,1.3862943611198906,12.0,13.7,0.6861313868613139,3,1
33.0,0.9162907318741551,12.0,12.1,0.6861313868613139,3,1
25.0,1.0986122886681098,12.0,14.4,0.6861313868613139,3,1
25.0,1.6094379124341003,12.0,19.1,0.6861313868613139,3,1
33.0,2.70805020110221,11.0,29.9,0.6861313868613139,0,1
50.0,2.3978952727983707,12.0,6.3,0.6861313868613139,1,1
33.0,2.3978952727983707,12.0,6.3,0.6861313868613139,1,1
50.0,0.6931471805599453,13.0,10.5,0.6861313868613139,3,1
50.0,0.6931471805599453,15.0,1.4,0.6861313868613139,3,1
50.0,1.0986122886681098,11.0,29.4,0.6861313868613139,3,1
0.0,2.3978952727983707,12.0,7.8,0.6861313868613139,1,1
33.0,1.0986122886681098,14.0,2.0,0.6861313868613139,3,1
33.0,0.6931471805599453,13.0,2.1,0.6861313868613139,3,1
50.0,1.3862943611198906,14.0,2.4,0.6861313868613139,3,1
0.0,0.6931471805599453,15.0,2.7,0.6861313868613139,3,1
0.0,1.0986122886681098,12.0,18.2,0.6861313868613139,1,1
0.0,0.6931471805599453,11.0,19.6,0.6861313868613139,1,1
95.0,1.0986122886681098,12.0,17.8,0.6861313868613139,0,1
33.0,1.6094379124341003,15.0,2.1,0.6861313868613139,3,1
33.0,0.9162907318741551,14.0,3.1,0.6861313868613139,3,1
33.0,0.6931471805599453,12.0,6.3,0.6861313868613139,3,1
0.0,2.0794415416798357,14.0,12.1,0.6861313868613139,1,1
50.0,1.0986122886681098,17.0,5.5,0.6861313868613139,3,1
0.0,1.0986122886681098,12.0,11.5,0.6861313868613139,3,1
0.0,0.6931471805599453,15.0,21.3,0.6861313868613139,3,1
40.0,4.110873864173311,19.0,3.7,0.1,3,2
50.0,1.0986122886681098,14.0,8.7,0.8348623853211009,1,3
50.0,1.0986122886681098,14.0,8.7,0.8348623853211009,1,3
50.0,0.6931471805599453,14.0,8.5,0.8348623853211009,1,3
50.0,0.6931471805599453,14.0,8.5,0.8348623853211009,1,3
