A,Y,W,Z,X_year,X_afam,X_density,law_binary
83,2.7212954278522306,4.582924577040772,9.165776803155262,1977,8.384873,0.0745524,0.0
94,2.6602595372658615,4.6061696863211745,9.203617826215355,1978,8.352101,0.0755667,0.0
144,2.653241964607215,4.705015520957808,9.198068175678452,1979,8.329575,0.0762453,0.0
141,2.653241964607215,4.891100725401066,9.16350323939836,1980,8.408386,0.0768288,0.0
149,2.5572273113676265,4.848116364598481,9.164228473050336,1981,8.483435,0.0771866,0.0
183,2.451005098112319,4.727387818712341,9.156931050908767,1982,8.514,0.0773185,0.0
215,2.322387720290225,4.599152113662528,9.188503677367008,1983,8.545608,0.0774933,0.0
243,2.341805806147327,4.575741375297279,9.245533755544288,1984,8.559511,0.0778424,0.0
256,2.379546134130174,4.667205576907544,9.280506155332995,1985,8.562801,0.07825,0.0
267,2.4069451083182885,4.72384171570559,9.3140353013149,1986,8.566521,0.0786251,0.0
283,2.33214389523559,4.729156165769083,9.334752056185188,1987,8.592103,0.0790919,0.0
307,2.388762789235098,4.777441406928545,9.36357291616016,1988,8.618144,0.0792611,0.0
300,2.4159137783010487,4.90453376321371,9.38973264259756,1989,8.638031,0.0793867,0.0
328,2.533696813957432,4.974662633637438,9.398062320370233,1990,8.699674,0.0797736,0.0
370,2.5257286443082556,5.035653057071544,9.400036337522112,1991,8.771641,0.0806113,0.0
394,2.4849066497880004,5.111385197196399,9.42537271621185,1992,8.877969,0.081562,0.0
407,2.533696813957432,5.07829394257007,9.425193653772622,1993,8.972758,0.0826229,0.0
431,2.5572273113676265,5.14865659199363,9.447380516802385,1994,9.047583,0.0834082,0.0
450,2.501435951739211,5.230038525794742,9.46294019600412,1995,9.094921,0.0839947,0.0
471,2.3978952727983707,5.123963979403259,9.465750512476342,1996,9.14942,0.08454,0.0
492,2.388762789235098,5.084505142662711,9.482053872738152,1997,9.206091,0.0851287,0.0
500,2.2082744135228043,4.882044059723269,9.511562857869263,1998,9.257586,0.0857347,0.0
519,2.186051276738094,4.805659046737495,9.527939920202543,1999,9.331416,0.0861057,0.0
63,2.468099531471619,4.582924577040772,9.91826926276431,1977,7.835672,0.0007083,0.0
75,2.631888840136646,4.525044141508807,9.854611859709225,1978,7.945618,0.0007106,0.0
127,2.6602595372658615,4.7059200890882344,9.804599931312163,1979,8.057296,0.0007071,0.0
133,2.2925347571405443,4.416428061391214,9.792704584140417,1980,8.123558,0.00071,0.0
143,2.747270914255491,4.750135956238277,9.802353094504214,1981,8.153878,0.0007331,0.0
170,2.970414465569701,4.9037921984782065,9.850515481370005,1982,8.149489,0.0007876,0.0
194,2.6946271807700692,4.585987366571318,9.854612384753992,1983,8.114173,0.0008556,0.0
219,2.533696813957432,4.704110133842995,9.830444705243165,1984,8.094755,0.0008999,0.0
252,2.379546134130174,4.542230386214217,9.836610298693996,1985,8.05383,0.0009328,0.0
288,2.2617630984737906,4.48863636973214,9.79296875579209,1986,8.0824,0.0009535,0.0
306,2.4069451083182885,4.3054155323020415,9.738431289080347,1987,8.185459,0.0009448,0.0
339,1.9021075263969205,4.302712827954156,9.725654308181502,1988,8.39216,0.0009495,0.0
355,2.1972245773362196,4.22829253473184,9.757674187178676,1989,8.556108,0.0009585,0.0
361,2.1400661634962708,4.3528552573736015,9.759206012147292,1990,8.630677,0.0009697,0.0
348,2.128231705849268,4.73795129722191,9.741379127005363,1991,8.526665,0.0009981,0.0
345,2.1400661634962708,4.700480365792417,9.739746111369502,1992,8.534543,0.0010293,0.0
327,2.302585092994046,4.8154311114712876,9.74501395903381,1993,8.630754,0.0010467,0.0
446,1.9878743481543455,4.991792206294776,9.739262462491508,1994,8.593396,0.001053,0.0
317,2.312535423847214,5.050496827521386,9.733463470885912,1995,8.624999,0.0010543,1.0
338,2.128231705849268,4.770684624465665,9.713971577869868,1996,8.75226,0.0010606,1.0
383,2.2925347571405443,4.676560182074764,9.730185992979097,1997,8.834417,0.0010675,1.0
420,2.0412203288596382,4.472780997942346,9.745572713810063,1998,8.933932,0.0010786,1.0
413,2.2617630984737906,4.526126978647638,9.748069236263845,1999,8.986603,0.0010861,1.0
125,2.3513752571634776,4.935911747900319,9.298392457241047,1977,3.436422,0.021383,0.0
129,2.341805806147327,5.099256485749784,9.358105852595195,1978,3.457416,0.0221776,0.0
146,2.2925347571405443,5.174453379325651,9.376336897620893,1979,3.473442,0.0232379,0.0
139,2.424802725718295,5.270946169751904,9.358355984994164,1980,3.592809,0.0241197,0.0
160,2.2082744135228043,5.185148668442399,9.365819026797059,1981,3.557633,0.0247571,0.0
184,2.2300144001592104,5.072670685015709,9.332225205966244,1982,3.588126,0.0254596,0.0
209,2.1041341542702074,4.893352133481524,9.363490551469857,1983,3.622587,0.0261561,0.0
223,2.174751721484161,4.883559211528279,9.422036247976315,1984,3.644696,0.0270214,0.0
247,2.1972245773362196,4.993828175779875,9.45620073160585,1985,3.673841,0.0280468,0.0
