A,Y,W,Z,X_race,X_sex
12.0,2.5360749363624,8.0,9.0,3,2
12.0,0.4252677354043441,12.0,12.0,3,2
14.0,2.7265447837383743,12.0,10.0,3,2
12.0,1.5040773967762742,12.0,1.0,3,1
12.0,2.1041341542702074,6.0,12.0,3,2
14.0,2.302585092994046,10.0,16.0,3,1
16.0,3.3617633124167483,12.0,16.0,3,1
16.0,2.509599262378372,16.0,15.0,3,1
17.0,2.750470916986162,12.0,16.0,3,2
16.0,2.388762789235098,12.0,19.0,3,1
13.0,3.038312721089109,12.0,16.0,3,2
13.0,2.5257286443082556,15.0,12.0,3,1
16.0,2.822568654544802,18.0,16.0,3,2
16.0,2.681706225762608,18.0,18.0,3,2
16.0,2.135349173618132,12.0,14.0,3,2
14.0,2.5201129055226197,16.0,16.0,3,2
12.0,1.0116009116784799,20.0,12.0,3,2
12.0,2.2202898502672155,4.0,16.0,3,2
12.0,2.0476928433652555,3.0,3.0,1,1
13.0,2.799717389628034,12.0,12.0,3,1
13.0,2.495681722955959,12.0,12.0,3,2
12.0,2.485739636091892,12.0,13.0,3,1
12.0,2.658859956911438,12.0,11.0,3,2
12.0,7.0508507892752545,12.0,12.0,3,1
12.0,2.551006451492524,12.0,12.0,3,1
12.0,1.6193882432872684,9.0,9.0,3,2
12.0,1.791759469228055,12.0,12.0,3,2
19.0,2.822568654544802,12.0,14.0,3,2
12.0,2.8507065015037334,16.0,10.0,3,1
14.0,2.864483986944037,12.0,14.0,3,2
12.0,2.5360749363624,10.0,6.0,3,2
10.0,2.7013612129514133,5.0,14.0,3,1
12.0,2.382320061012899,12.0,12.0,3,2
17.0,2.88703285663065,17.0,16.0,3,2
12.0,3.3617633124167483,16.0,12.0,3,1
14.0,2.017566137961748,16.0,16.0,3,2
12.0,2.5376572151735295,16.0,12.0,3,2
16.0,2.896464271895322,17.0,18.0,3,2
18.0,2.302585092994046,16.0,18.0,3,1
19.0,3.305787196857497,16.0,14.0,3,1
16.0,2.822568654544802,16.0,16.0,3,2
14.0,2.302585092994046,16.0,0.0,3,1
16.0,2.9386326815134183,18.0,16.0,3,2
9.0,1.9242486522741338,9.0,13.0,2,2
12.0,1.572773928062509,12.0,8.0,2,1
16.0,2.402430427963762,12.0,14.0,2,1
16.0,2.9564715596006885,12.0,12.0,2,2
16.0,3.2565568918358894,4.0,17.0,3,1
16.0,2.6210388241125804,3.0,14.0,3,2
12.0,2.0541237336955462,12.0,12.0,3,2
12.0,2.8914822521801917,11.0,12.0,3,2
14.0,1.8562979903656263,16.0,4.0,3,2
19.0,2.8942531046041373,6.0,13.0,3,1
16.0,2.8903717578961645,5.0,14.0,3,2
12.0,2.587011872725154,12.0,12.0,3,2
16.0,2.9564715596006885,9.0,16.0,3,1
16.0,2.5257286443082556,9.0,16.0,3,1
20.0,2.0399207835175526,8.0,16.0,3,1
13.0,2.9439125248241944,12.0,6.0,3,1
12.0,1.4906543764441336,10.0,12.0,3,2
11.0,2.2512917986064953,8.0,9.0,3,2
15.0,2.7819200496686656,12.0,16.0,3,1
9.0,2.151762203259462,8.0,12.0,3,2
16.0,2.075684492802124,8.0,12.0,3,1
17.0,2.668616131856803,15.0,16.0,3,2
12.0,2.7738379416402132,10.0,16.0,3,1
14.0,2.710048203764883,15.0,7.0,3,1
12.0,2.683074215032033,12.0,12.0,3,2
12.0,2.8449093838194073,11.0,11.0,3,2
12.0,3.08876713952118,12.0,12.0,3,1
16.0,2.740840023925201,12.0,12.0,3,1
16.0,3.3617633124167483,16.0,15.0,3,2
16.0,2.0794415416798357,16.0,17.0,3,2
17.0,2.9811261211646287,12.0,20.0,3,2
12.0,2.6390573296152584,10.0,12.0,3,1
12.0,3.007166651179654,10.0,15.0,3,2
12.0,2.0794415416798357,10.0,12.0,3,2
12.0,0.8415671856782185,12.0,15.0,3,1
12.0,2.50715725872282,12.0,12.0,3,1
12.0,2.8570447537800976,12.0,14.0,3,2
12.0,1.9851308622085946,14.0,14.0,3,1
12.0,3.0828269804049246,12.0,16.0,3,2
12.0,2.514465452029545,13.0,7.0,3,2
9.0,2.6026896854443837,12.0,5.0,3,1
15.0,2.1482677326096886,16.0,6.0,3,2
16.0,2.5649493574615367,16.0,15.0,3,2
16.0,2.9564715596006885,16.0,16.0,3,2
12.0,2.7466296830696852,7.0,12.0,3,2
17.0,3.0516399054922867,17.0,16.0,3,1
12.0,2.599722324216582,12.0,12.0,3,2
13.0,2.448415541205585,12.0,16.0,3,1
12.0,2.1400661634962708,12.0,7.0,3,2
14.0,1.3862943611198906,8.0,12.0,3,2
16.0,2.733067964077498,12.0,14.0,3,1
13.0,2.5494451709255714,12.0,14.0,1,2
12.0,2.302585092994046,12.0,12.0,3,2
16.0,2.6979998652487085,16.0,12.0,3,2
12.0,2.302585092994046,12.0,12.0,3,1
15.0,2.9564715596006885,12.0,16.0,3,2
10.0,1.5173226235262947,12.0,12.0,3,2
16.0,2.599722324216582,12.0,16.0,3,1
18.0,2.9564715596006885,17.0,0.0,3,2
19.0,2.567254391136754,17.0,15.0,3,1
16.0,2.8914822521801917,12.0,16.0,3,2
16.0,3.2039652121324464,12.0,12.0,3,1
16.0,2.969388298214389,12.0,14.0,3,1
18.0,3.1793030497483774,16.0,16.0,3,1
18.0,3.0740812399649675,16.0,13.0,3,1
12.0,2.7047112998366956,12.0,8.0,3,1
12.0,1.0647107369924282,12.0,8.0,3,2
11.0,2.0794415416798357,16.0,7.0,1,2
12.0,2.050270164379556,10.0,12.0,3,1
