A,Y,W,Z,X_race,X_sex,X_faminc_2000
12.0,6.551080335043404,10.668955394675699,12.0,3,2,64000.0
12.0,10.196157166498947,10.085809109330082,1.0,3,1,25400.0
16.0,10.635855446249355,8.411832675758411,15.0,3,1,
13.0,9.998797732340453,11.127262984158243,16.0,3,2,81200.0
13.0,11.211820372186306,8.85366542803745,13.0,3,1,120100.0
17.0,10.778956289890028,10.491274217438248,16.0,3,2,96400.0
16.0,10.915088464214607,10.545341438708522,18.0,3,2,
16.0,10.46310334047155,10.085809109330082,14.0,3,2,58800.0
14.0,9.615805480084347,12.195608082482291,16.0,3,2,332808.0
16.0,9.052399183907607,12.195608082482291,16.0,3,2,146126.0
13.0,9.546812608597396,11.03488966402723,12.0,3,2,24000.0
12.0,10.819778284410283,10.46310334047155,16.0,3,2,74000.0
13.0,10.46310334047155,9.852194258148577,12.0,3,1,83000.0
12.0,10.621327345686446,10.126631103850338,13.0,3,1,38592.0
12.0,7.783224016336037,11.225243392518447,12.0,3,2,98200.0
12.0,10.621327345686446,10.545341438708522,11.0,3,2,67000.0
12.0,10.645424897265505,10.308952660644293,12.0,3,1,85000.0
12.0,7.513709247839705,9.369563877524161,9.0,3,2,17448.0
19.0,10.308952660644293,11.002099841204238,14.0,3,2,
12.0,11.238488619268468,7.090076835776092,10.0,3,1,65000.0
14.0,10.404262840448617,10.730531683896064,14.0,3,2,88924.0
12.0,9.615805480084347,10.46310334047155,6.0,3,2,65520.0
12.0,9.104979856318357,10.714417768752456,12.0,3,2,42520.0
17.0,10.545341438708522,11.018629143155449,16.0,3,2,120000.0
12.0,10.645424897265505,10.950806546816688,16.0,3,1,
12.0,11.156250521031495,10.714417768752456,12.0,3,1,104000.0
12.0,10.367221568768269,10.165851817003619,12.0,3,2,34060.0
16.0,12.002474335450016,12.195608082482291,5.0,3,1,332808.0
16.0,10.645424897265505,10.714417768752456,16.0,3,2,80500.0
12.0,9.798127036878302,9.210340371976184,8.0,2,1,14000.0
16.0,10.069001991013701,9.966462351697517,14.0,2,1,52000.0
16.0,10.51867319162636,10.571316925111784,12.0,2,2,88000.0
16.0,11.097410021008562,9.210340371976184,17.0,3,1,100000.0
12.0,8.85366542803745,9.903487552536127,12.0,3,2,20880.0
12.0,10.373491181781864,9.615805480084347,12.0,3,1,50000.0
12.0,9.392661928770137,10.839580911706463,12.0,3,2,74000.0
14.0,10.51867319162636,10.645424897265505,12.0,3,2,76400.0
14.0,7.600902459542082,10.46310334047155,4.0,3,2,42100.0
