A,Y,W,Z,A2,W2,X_age,X_educ,X_fsize,X_marr
6765.0,0.0,0,0,0,1,47,8,2,0
28452.0,1015.0,0,0,0,1,36,16,1,0
3300.0,-2000.0,0,0,0,0,37,12,6,0
52590.0,15000.0,0,0,0,1,58,16,2,1
21804.0,0.0,0,0,0,1,32,11,1,0
34680.0,27800.0,1,0,0,1,34,16,1,0
21600.0,2913.0,1,0,0,1,28,12,3,1
4686.0,-650.0,0,0,0,1,54,11,3,0
65820.0,37279.0,1,0,0,1,43,14,2,1
37260.0,1900.0,0,0,0,1,32,18,3,1
15306.0,783.0,0,0,0,1,52,12,3,1
58413.0,-10000.0,0,0,0,0,30,18,4,1
21630.0,-740.0,0,0,0,1,63,15,2,0
30600.0,0.0,0,0,0,0,38,18,1,1
33414.0,-4700.0,0,0,0,0,32,13,4,1
14580.0,-1000.0,0,0,0,0,29,12,3,0
57477.0,-16901.0,0,0,0,1,40,17,4,1
46008.0,2000.0,0,0,0,1,30,10,4,1
3825.0,0.0,0,0,0,0,44,12,1,0
5220.0,0.0,0,0,0,0,57,18,1,0
9120.0,-800.0,0,0,0,1,42,10,5,0
69693.0,52900.0,1,0,0,1,41,16,4,1
52110.0,-9940.0,0,0,0,0,39,16,1,0
30000.0,0.0,0,0,0,1,53,12,3,1
26826.0,2000.0,0,0,0,1,64,12,1,0
10524.0,0.0,0,0,0,0,37,14,3,0
33228.0,0.0,0,0,0,0,62,12,2,1
60528.0,-2238.0,0,0,0,1,55,12,2,1
13512.0,-2797.0,0,0,0,1,39,12,3,1
44640.0,97664.0,1,0,0,1,58,12,1,0
14280.0,-500.0,0,0,0,0,43,4,4,1
28134.0,-4700.0,0,0,0,0,37,13,3,1
14931.0,249.0,0,0,0,1,31,16,1,0
26535.0,400.0,0,0,0,0,25,14,2,1
48360.0,-3000.0,0,0,0,1,39,13,4,1
31635.0,5000.0,0,0,0,1,41,13,2,0
40041.0,24654.0,0,0,0,1,52,14,3,0
22410.0,-5000.0,0,0,0,0,43,12,1,0
27072.0,700.0,0,0,0,0,37,9,5,1
21420.0,0.0,0,0,0,1,47,13,1,0
34410.0,3550.0,0,0,0,1,57,15,3,1
23700.0,-3900.0,0,0,0,1,36,12,4,1
19950.0,-7350.0,0,0,0,0,30,14,3,1
23274.0,-2450.0,0,0,0,0,29,12,3,0
20019.0,41800.0,1,0,0,1,54,13,3,1
1200.0,-200.0,0,0,0,0,47,15,2,0
85980.0,16597.0,1,0,0,1,51,18,2,1
26472.0,4883.0,0,0,0,1,44,12,4,1
37911.0,8300.0,0,0,0,1,61,12,5,1
15822.0,-550.0,0,0,0,1,30,15,4,1
77913.0,11730.0,0,0,0,1,48,14,2,1
159696.0,90550.0,1,0,0,1,39,16,2,1
25200.0,-5500.0,0,0,0,0,36,12,4,0
23046.0,9918.0,1,0,0,1,39,14,1,0
15450.0,-120.0,0,0,0,1,26,12,3,0
25920.0,2050.0,0,0,0,0,37,18,1,0
13839.0,-3900.0,0,0,0,1,37,16,1,0
10164.0,-1002.0,0,0,0,1,32,12,5,0
27624.0,-3600.0,0,0,0,1,30,12,1,0
41217.0,-12465.0,0,0,0,1,50,7,4,1
35565.0,-6994.0,0,0,0,0,45,12,3,0
57000.0,-10275.0,0,0,0,1,30,14,2,1
54852.0,5000.0,0,0,0,1,41,12,5,1
25002.0,-19840.0,0,0,0,0,31,12,4,1
46398.0,1384.0,0,0,0,1,30,16,4,1
18000.0,0.0,1,0,0,1,46,14,2,0
33576.0,20700.0,0,0,0,1,38,10,4,1
3150.0,2250.0,0,0,0,0,25,16,1,0
64203.0,59498.0,0,0,0,0,46,12,5,1
16194.0,10.0,0,0,0,1,29,12,3,0
14400.0,1400.0,0,0,0,1,58,4,5,1
41622.0,10600.0,1,0,0,1,46,11,5,1
60384.0,-1068.0,0,0,0,1,42,12,4,1
46122.0,41302.0,0,0,0,1,63,13,2,1
41757.0,10055.0,1,0,0,1,34,12,4,1
58320.0,-100.0,0,0,0,1,40,12,3,1
38244.0,-5100.0,0,0,0,0,35,16,3,1
14292.0,-550.0,0,0,0,1,43,12,3,1
24231.0,-1400.0,0,0,0,1,37,13,4,1
25314.0,800.0,0,0,0,0,32,12,1,0
4917.0,-1847.0,0,0,0,0,54,11,1,0
12051.0,-50.0,0,0,0,0,30,18,1,0
30780.0,3000.0,0,0,0,1,53,8,4,1
61500.0,62800.0,1,0,0,1,57,13,3,1
49200.0,-9100.0,0,0,0,1,29,17,2,1
11730.0,0.0,0,0,0,0,49,4,6,1
63396.0,24999.0,0,0,0,1,49,16,3,1
7329.0,10.0,0,0,0,0,34,16,1,0
17952.0,0.0,0,0,0,0,26,15,1,0
18942.0,0.0,0,0,0,0,37,14,4,0
27480.0,-5000.0,0,0,0,1,25,12,3,1
6885.0,20.0,0,0,0,1,57,12,2,0
17370.0,200.0,0,0,0,0,28,12,1,0
37593.0,0.0,0,0,0,0,32,16,4,1
16575.0,-1345.0,0,0,0,0,63,11,2,1
29766.0,-3250.0,0,0,0,1,27,14,2,1
77124.0,11700.0,1,0,0,1,38,17,1,0
2307.0,3720.0,0,0,0,1,60,10,2,0
29922.0,-1600.0,0,0,0,1,28,11,6,1
80550.0,26600.0,1,0,0,1,38,18,2,1
32460.0,2700.0,0,0,0,1,44,14,2,1
39420.0,49.0,0,0,0,1,38,14,4,1
18000.0,0.0,0,0,0,1,42,1,1,0
19278.0,15599.0,1,0,0,0,61,8,1,0
19956.0,2905.0,0,0,0,1,51,12,3,1
7182.0,15970.0,0,0,0,1,37,18,1,0
47193.0,-86500.0,0,0,0,0,57,12,2,1
13200.0,-4200.0,0,0,0,0,27,12,2,0
14892.0,-2415.0,0,0,0,0,38,12,5,1
13500.0,0.0,0,0,0,0,29,12,2,0
72099.0,44.0,0,0,0,1,46,16,2,1
93648.0,90930.0,1,0,0,0,36,18,2,1
48690.0,4700.0,1,0,0,1,56,12,3,1
9009.0,-712.0,0,0,0,0,30,6,4,1
36213.0,-635.0,0,0,0,0,29,9,6,1
10200.0,0.0,0,0,0,0,26,14,1,0
43716.0,-2200.0,0,0,0,0,34,12,3,1
9078.0,-5055.0,0,0,0,1,59,6,2,1
13479.0,5399.0,1,0,0,0,31,12,3,1
31569.0,-2100.0,0,0,0,1,29,17,4,1
17874.0,600.0,0,0,0,1,49,12,2,0
43005.0,7299.0,1,0,0,1,31,12,2,1
33885.0,15100.0,0,0,0,1,33,16,2,1
10260.0,0.0,0,0,0,0,40,12,1,0
23721.0,31791.0,1,0,0,1,53,13,1,0
23118.0,-400.0,0,0,0,0,30,16,1,0
25305.0,-12000.0,0,0,0,1,32,12,3,1
49206.0,499.0,0,0,0,1,47,16,4,1
30075.0,4500.0,0,0,0,1,33,6,3,1
35058.0,-10525.0,0,0,0,0,30,16,2,1
15330.0,-170.0,0,0,0,0,43,10,5,1
22080.0,0.0,0,0,0,0,26,12,3,0
65400.0,1000.0,0,0,0,0,44,16,4,1
11454.0,-9764.0,0,0,0,1,43,12,5,1
30300.0,17075.0,0,0,0,1,35,18,2,0
29238.0,2010.0,0,0,0,1,48,10,4,1
10428.0,600.0,0,0,0,1,42,12,3,0
84111.0,41549.0,1,0,0,1,39,18,1,0
70035.0,26564.0,0,0,0,0,45,10,2,0
10560.0,0.0,0,0,0,0,40,12,2,0
40500.0,44763.0,1,0,0,1,62,11,3,1
31869.0,1600.0,1,0,0,0,36,16,1,0
21306.0,10029.0,0,0,0,1,30,16,2,0
74178.0,29715.0,0,0,0,1,35,14,4,1
47769.0,4144.0,0,0,0,1,44,12,6,1
12024.0,-18500.0,0,0,0,1,56,12,2,0
2640.0,0.0,0,0,0,0,35,9,4,0
22395.0,-1564.0,0,0,0,1,49,12,5,1
50484.0,385000.0,1,0,0,1,43,12,3,0
42576.0,-4000.0,0,0,0,0,45,16,1,0
10443.0,0.0,0,0,0,0,38,12,4,0
19224.0,1800.0,0,0,0,0,32,14,1,0
34455.0,1500.0,1,0,0,1,32,13,3,1
33453.0,-21070.0,0,0,0,1,27,16,3,1
21234.0,12500.0,1,0,0,1,44,15,1,0
